Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
34.14548873833601,-0.1064303158284517,-7.282815400865702,-125.6276511838859
36.86945064519577,-0.08946311819579247,-8.519592460261201,-129.9956133420405
39.81071705534978,-0.07229383231105718,-9.775655137828968,-133.9137704787559
42.98662347082277,-0.06137950179123255,-11.04596097663815,-137.4639828548844
46.41588833612772,-0.05013963866869386,-12.33668107070929,-140.5781453932093
50.11872336272725,-0.04054683241519968,-13.63704558171328,-143.3916785038264
54.11695265464638,-0.03463649622433648,-14.93097816027668,-145.9260678357552
58.43414133735175,-0.02756521521940437,-16.23706018261044,-148.1574142233894
63.0957344480193,-0.02353850972965927,-17.52868703870273,-150.1852395497573
68.12920690579615,-0.0190018481472579,-18.82942669933508,-152.0852282623972
73.56422544596407,-0.0166901899905994,-20.1328184963664,-153.6551671654248
79.43282347242813,-0.01469355878253815,-21.42876326398504,-155.1693056524485
85.76958985908946,-0.01500649495697401,-22.69993461168806,-156.4802389139001
92.61187281287938,-0.01492896759250769,-24.02096716779369,-157.7822745756631
100,-0.01348081269919546,-25.34137224770071,-158.7459139552448
107.9775162327711,-0.018235093587214,-26.64593870520001,-159.7412619070257
116.5914401179831,-0.02064808084711165,-27.9589394526501,-160.6862633312877
125.8925411794166,-0.02424306512615673,-29.27225022652508,-161.6236005062229
135.9356390878527,-0.02873230421139188,-30.54927612592214,-162.0124467239896
146.7799267622071,-0.03336538097207795,-31.85147667918248,-162.827666606737
158.4893192461113,-0.04054381216906797,-33.2595061353823,-163.0290072475116
171.1328304161781,-0.04779851524106143,-34.54029441354613,-163.9017697691613
184.7849797422291,-0.05720292108781638,-35.85632847626294,-163.8086602502265
199.5262314968879,-0.06735692503112291,-37.12225127812224,-164.8080267112488
215.4434690031884,-0.07956010951124708,-38.48805362424684,-164.7912445425952
232.6305067153629,-0.09405261020973581,-39.97255548150441,-164.4892208051927
251.1886431509579,-0.1089976309768333,-41.37316779791138,-164.8842407987944
271.227257933203,-0.1265723385252476,-42.74674198078196,-164.4844023164208
292.8644564625237,-0.1468544619313471,-44.07157570077739,-165.3465057911701
316.227766016838,-0.1675447895407194,-45.81318700021896,-166.1810525819911
341.4548873833604,-0.1979186332062924,-46.94497999387131,-165.3906974686319
368.6945064519574,-0.2247609931711587,-49.29574884279715,-162.3870948242481
398.1071705534973,-0.2572977763348627,-50.71698132411314,-163.1456128717943
429.8662347082272,-0.2932643789812964,-52.78645877826047,-162.4066095655592
464.1588833612777,-0.3378821933918873,-55.19480756799909,-164.1150390203627
501.1872336272725,-0.3864972231365832,-57.25933311803979,-153.4876380536093
541.1695265464638,-0.4455440881200298,-60.25130226448786,-154.9898918528828
584.3414133735175,-0.5100027744455049,-63.56176650556814,-136.9825267867479
630.9573444801937,-0.585292788200649,-66.34413962491541,-121.7846715874477
681.2920690579608,-0.6729099035491332,-69.91598133300872,-88.10400498917684
735.6422544596413,-0.7689811427532451,-65.08193985401898,-72.08836564877211
794.3282347242814,-0.8779132000899785,-65.5456089570753,-71.19635721430636
857.6958985908946,-0.9932314501902638,-60.25741151217253,-25.03129248197268
926.1187281287938,-1.125476032493192,-59.45300962314079,-26.03373221042733
1000,-1.258181068238421,-60.20486944865122,-32.24532414284552
1079.77516232771,-1.405113861247249,-57.11679879947874,-33.21940738821063
