Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
217.0339028737494,-0.1000699210179864,-38.45891257658256,-170.1965791153217
234.2411612075389,-0.1167491773246365,-39.88802931706002,-169.8403418977079
252.812675242605,-0.1324408280507239,-41.16114360452167,-168.6612257662739
272.8566082657629,-0.1504231851463904,-42.71237448172851,-169.7723215166797
294.4896991531425,-0.1722246656623531,-43.92555823060076,-169.0951649922766
317.8379422749368,-0.199487157320567,-45.29629817582052,-169.0691734428653
343.0373213055317,-0.229591130413286,-46.91881896138912,-169.2606389116226
370.2346012128516,-0.2607994065225329,-48.48453797021912,-168.3325431386679
399.5881830395723,-0.2977075222807508,-50.19981958858699,-166.3964936287881
431.269026454581,-0.3367062809065518,-52.0981785664742,-164.5707046656206
465.4616454477659,-0.3860804885352469,-54.81650893453261,-161.2702438030379
502.3651829671991,-0.4350934970065822,-56.03617601439844,-163.1507670159114
542.194570757578,-0.4984592965720539,-57.96475177020913,-155.111469011713
585.1817811549835,-0.5678736663920181,-62.5030650952576,-154.2776889094513
631.5771781285996,-0.6481202856913236,-66.56332825365872,-129.9869858856277
681.6509754380755,-0.7392431879432348,-68.57419720257134,-122.9035851222334
735.69481039904,-0.8370435003865535,-76.78658365296835,-45.00054645612373
794.0234424226211,-0.9472381438282325,-67.00842086541178,-46.97835821420509
856.9765862215369,-1.067549123860341,-64.76651905303549,-42.43002448223604
924.9208903595915,-1.200777250249847,-62.23539328320399,-20.6473056455184
998.2520726679808,-1.336169711774479,-58.81559059606544,-29.6264907332172
1077.397224965366,-1.482338581220644,-57.06038666841773,-19.34529618458942
1162.817300504769,-1.631741848170589,-55.83050150838037,-31.93362232424859
1255.009798634542,-1.786660833962132,-56.79448412874397,-36.47042154777709
1354.511662309287,-1.941934856479461,-56.18268726822652,-24.94076017020633
1461.902405326265,-2.096451417728599,-54.78291463868995,-43.51831187762898
1577.807487500779,-2.251381438465021,-55.629342090714,-46.10720550295628
